年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
1999,ゼロックススーパーカップ,,02/27(土),14:52,鹿島,2-1,清水,国立,"28,520",日本テレビ（生）
1999,Ｊ１ １ｓｔ,第１節第１日,03/06(土),14:03,名古屋,1-0,福岡,瑞穂陸,"18,543",名古屋テレビ／ＢＳ（生）
1999,Ｊ１ １ｓｔ,第１節第１日,03/06(土),15:03,浦和,2-1,Ｇ大阪,駒場,"18,639",テレビ埼玉／Ｊ－ＳＰＯＲＴＳ
1999,Ｊ１ １ｓｔ,第１節第１日,03/06(土),15:03,Ｃ大阪,2-1,広島,長居,"6,697",ディレクＴＶ（録）
1999,Ｊ１ １ｓｔ,第１節第１日,03/06(土),16:03,磐田,3-1,神戸,磐田,"13,349",静岡放送
1999,Ｊ１ １ｓｔ,第１節第１日,03/06(土),16:04,鹿島,4-0,市原,国立,"19,531",ＢＳ（録）／ディレクＴＶ
1999,Ｊ１ １ｓｔ,第１節第１日,03/06(土),16:04,清水,3-1,Ｖ川崎,日本平,"11,169",テレビ静岡／スカイパーフェクＴＶ（録）
1999,Ｊ１ １ｓｔ,第１節第１日,03/06(土),16:07,横浜FM,2-0,平塚,横浜国,"36,214",ＢＳ（生）
1999,Ｊ１ １ｓｔ,第１節第１日,03/06(土),19:04,柏,1-0,京都,柏,"9,018",ＢＳ（生）
1999,サテライトリーグ Ｂグループ,第１日,03/07(日),14:02,Ｖ川崎,2-2,磐田,よみうり,352,
1999,サテライトリーグ Ｂグループ,第１日,03/07(日),15:00,清水,1-1,横浜FM,草薙陸,175,
1999,サテライトリーグ Ｃグループ,第１日,03/07(日),14:00,Ｇ大阪,4-0,Ｃ大阪,田辺Ｇ,41,
1999,サテライトリーグ Ｃグループ,第１日,03/07(日),15:01,福岡,0-1,広島,雁の巣,110,
1999,Ｊ１ １ｓｔ,第２節第１日,03/13(土),14:03,Ｇ大阪,3-2,名古屋,万博,"17,807",ＮＨＫ総合
1999,Ｊ１ １ｓｔ,第２節第１日,03/13(土),15:02,Ｖ川崎,2-0,Ｃ大阪,等々力,"6,045",日本テレビ（録）／ディレクＴＶ（録）
1999,Ｊ１ １ｓｔ,第２節第１日,03/13(土),15:02,福岡,1-4,柏,博多球,"8,800",Ｊ－ＳＰＯＲＴＳ
1999,Ｊ１ １ｓｔ,第２節第１日,03/13(土),15:03,京都,1-3,横浜FM,西京極,"8,496",ＫＢＳ京都（録）／スカイパーフェクＴＶ（録）
1999,Ｊ１ １ｓｔ,第２節第１日,03/13(土),15:03,神戸,1-2,鹿島,神戸ユ,"7,516",ディレクＴＶ
1999,Ｊ１ １ｓｔ,第２節第１日,03/13(土),16:04,平塚,0-1,清水,平塚,"6,253",ＢＳ（生）
1999,Ｊ１ １ｓｔ,第２節第１日,03/13(土),16:05,広島,0-1,磐田,広島ビ,"17,263",テレビ新広島
1999,Ｊ１ １ｓｔ,第２節第１日,03/13(土),19:04,市原,0-0,浦和,市原,"8,057",ＢＳ（生）
1999,Ｊ２,第１節第１日,03/14(日),12:59,甲府,1-2,大宮,韮崎中央,"2,027",
1999,Ｊ２,第１節第１日,03/14(日),13:00,Ｆ東京,2-0,鳥栖,西が丘,"3,685",東京メトロポリタンテレビ（録）
1999,Ｊ２,第１節第１日,03/14(日),13:00,川崎Ｆ,0-1,新潟,等々力,"4,469",
1999,Ｊ２,第１節第１日,03/14(日),13:01,大分,1-0,札幌,大分,"3,741",大分放送
1999,Ｊ２,第１節第１日,03/14(日),13:04,仙台,2-3,山形,仙台,"10,315",ＮＨＫ仙台（生）
1999,サテライトリーグ Ａグループ,第１日,03/14(日),14:01,鹿島,0-2,浦和,鹿島Ｇ,"1,076",
1999,サテライトリーグ Ｃグループ,第２日,03/14(日),13:58,Ｃ大阪,1-2,広島,瀬田Ｇ,48,
1999,サテライトリーグ Ｃグループ,第２日,03/14(日),14:00,京都,5-2,Ｇ大阪,東城陽Ｇ,216,
1999,Ｊ１ １ｓｔ,第３節第１日,03/20(土),15:03,名古屋,0-0,市原,瑞穂陸,"11,523",スカイパーフェクＴＶ（録）
1999,Ｊ１ １ｓｔ,第３節第１日,03/20(土),15:03,Ｇ大阪,3-2,福岡,万博,"3,253",ディレクＴＶ
1999,Ｊ１ １ｓｔ,第３節第１日,03/20(土),15:03,Ｃ大阪,1-2,平塚,長居,"3,964",Ｊ－ＳＰＯＲＴＳ
1999,Ｊ１ １ｓｔ,第３節第１日,03/20(土),15:04,清水,1-0,京都,日本平,"8,237",テレビ静岡／ディレクＴＶ（録）
1999,Ｊ１ １ｓｔ,第３節第１日,03/20(土),16:00,鹿島,1-0,広島,国立,"9,478",ＢＳ（録）
1999,Ｊ１ １ｓｔ,第３節第１日,03/20(土),16:03,磐田,3-0,Ｖ川崎,磐田,"9,078",静岡放送／ＢＳ（生）
1999,Ｊ１ １ｓｔ,第３節第１日,03/20(土),18:33,浦和,0-0,神戸,駒場,"15,291",テレビ埼玉
1999,Ｊ１ １ｓｔ,第３節第１日,03/20(土),19:04,横浜FM,0-1,柏,横浜国,"12,456",ＢＳ（生）
1999,Ｊ２,第２節第１日,03/20(土),13:01,新潟,1-0,山形,新潟,"2,514",テレビ新潟
1999,Ｊ２,第２節第２日,03/21(日・祝),12:59,鳥栖,4-0,甲府,鳥栖,"2,707",
1999,Ｊ２,第２節第２日,03/21(日・祝),13:00,仙台,1-2,Ｆ東京,仙台,"4,890",
1999,Ｊ２,第２節第２日,03/21(日・祝),13:00,大分,1-0,川崎Ｆ,大分,"1,925",
1999,Ｊ２,第２節第２日,03/21(日・祝),14:03,大宮,1-2,札幌,大宮,"5,609",テレビ埼玉（録）
1999,サテライトリーグ Ｂグループ,第２日,03/21(日・祝),14:01,名古屋,0-2,Ｖ川崎,一宮,841,
1999,サテライトリーグ Ｃグループ,第３日,03/21(日・祝),14:00,京都,2-1,Ｃ大阪,東城陽Ｇ,127,
1999,サテライトリーグ Ｃグループ,第３日,03/21(日・祝),14:00,Ｇ大阪,2-4,広島,田辺Ｇ,38,
1999,Ｊ１ １ｓｔ,第４節第１日,03/27(土),13:05,柏,1-2,清水,柏,"9,231",ＢＳ（生）
1999,Ｊ１ １ｓｔ,第４節第１日,03/27(土),15:00,市原,3-2,Ｇ大阪,市原,"4,017",千葉テレビ（録）／ディレクＴＶ（録）
1999,Ｊ１ １ｓｔ,第４節第１日,03/27(土),15:02,Ｖ川崎,2-1,鹿島,国立,"18,653",日本テレビ（全）
1999,Ｊ１ １ｓｔ,第４節第１日,03/27(土),15:03,神戸,0-2,名古屋,神戸ユ,"6,595",Ｊ－ＳＰＯＲＴＳ
1999,Ｊ１ １ｓｔ,第４節第１日,03/27(土),15:03,広島,4-1,浦和,広島ビ,"8,163",広島テレビ／ＢＳ（録）／ディレクＴＶ
1999,Ｊ１ １ｓｔ,第４節第１日,03/27(土),15:05,福岡,2-1,横浜FM,博多球,"10,053",ＢＳ（生）
1999,Ｊ１ １ｓｔ,第４節第１日,03/27(土),17:05,京都,0-1,Ｃ大阪,西京極,"3,441",ＫＢＳ京都（録）／ＢＳ（生）
1999,Ｊ１ １ｓｔ,第４節第１日,03/27(土),19:04,平塚,2-1,磐田,平塚,"7,694",テレビ神奈川／ＢＳ（生）
1999,Ｊ２,第３節第１日,03/28(日),12:33,札幌,2-3,鳥栖,室蘭,"6,204",北海道文化放送
1999,Ｊ２,第３節第１日,03/28(日),13:00,甲府,1-2,仙台,韮崎中央,"1,038",
1999,Ｊ２,第３節第１日,03/28(日),13:01,Ｆ東京,0-1,新潟,西が丘,"2,715",東京メトロポリタンテレビ（録）
1999,Ｊ２,第３節第１日,03/28(日),14:01,大宮,5-0,大分,大宮,"2,278",
1999,Ｊ２,第３節第１日,03/28(日),14:02,山形,2-1,川崎Ｆ,鶴岡,"2,166",
1999,サテライトリーグ Ａグループ,第２日,03/28(日),13:00,柏,4-3,市原,柏,"1,320",
1999,サテライトリーグ Ａグループ,第２日,03/28(日),13:58,平塚,4-0,鹿島,大神Ｇ,350,
1999,サテライトリーグ Ｃグループ,第４日,03/28(日),14:00,広島,0-1,京都,吉田,268,
1999,サテライトリーグ Ｃグループ,第４日,03/28(日),15:04,福岡,2-2,Ｃ大阪,雁の巣,536,
1999,Ｊ１ １ｓｔ,第５節第１日,04/03(土),14:03,磐田,2-1,京都,磐田,"10,666",静岡放送／ディレクＴＶ
1999,Ｊ１ １ｓｔ,第５節第１日,04/03(土),14:04,鹿島,4-2,平塚,金沢,"13,505",テレビ金沢（録）／ＢＳ（生）
1999,Ｊ１ １ｓｔ,第５節第１日,04/03(土),15:00,市原,1-3,福岡,市原,"3,508",ＢＳ（録）
1999,Ｊ１ １ｓｔ,第５節第１日,04/03(土),15:03,Ｇ大阪,2-1,神戸,万博,"4,461",Ｊ－ＳＰＯＲＴＳ
1999,Ｊ１ １ｓｔ,第５節第１日,04/03(土),15:05,名古屋,0-2,広島,瑞穂陸,"14,099",中部日本放送
1999,Ｊ１ １ｓｔ,第５節第１日,04/03(土),16:04,清水,2-3,横浜FM,日本平,"13,444",テレビ静岡／スカイパーフェクＴＶ（録）
1999,Ｊ１ １ｓｔ,第５節第１日,04/03(土),19:01,Ｃ大阪,3-0,柏,長居,"5,828",ディレクＴＶ（録）
1999,Ｊ１ １ｓｔ,第５節第１日,04/03(土),19:03,浦和,2-2,Ｖ川崎,駒場,"18,770",テレビ埼玉／ＢＳ（生）
1999,Ｊ２,第４節第１日,04/04(日),12:59,新潟,6-1,甲府,新潟,"3,625",
1999,Ｊ２,第４節第１日,04/04(日),13:00,鳥栖,4-2,大宮,鳥栖,"2,805",
1999,Ｊ２,第４節第１日,04/04(日),13:01,大分,2-1,山形,大分,"1,876",
1999,Ｊ２,第４節第１日,04/04(日),14:00,仙台,1-1,札幌,仙台,"13,569",東日本放送
1999,Ｊ２,第４節第１日,04/04(日),14:01,川崎Ｆ,2-2,Ｆ東京,等々力,"5,293",
1999,サテライトリーグ Ａグループ,第３日,04/04(日),13:59,浦和,3-3,市原,熊谷,"1,009",
1999,サテライトリーグ Ｂグループ,第３日,04/04(日),14:01,磐田,2-0,横浜FM,磐田,"1,215",
1999,サテライトリーグ Ｃグループ,第５日,04/04(日),14:02,広島,3-1,Ｃ大阪,広域１,284,
1999,ＹＮＣ,１回戦第１戦,04/07(水),13:03,札幌,1-0,福岡,室蘭,"1,854",ディレクＴＶ
1999,ＹＮＣ,１回戦第１戦,04/07(水),18:00,新潟,0-3,柏,新潟,"1,959",
1999,ＹＮＣ,１回戦第１戦,04/07(水),19:00,仙台,1-2,広島,仙台,"3,674",
1999,ＹＮＣ,１回戦第１戦,04/07(水),19:00,Ｆ東京,1-1,神戸,西が丘,"1,908",
1999,ＹＮＣ,１回戦第１戦,04/07(水),19:00,川崎Ｆ,1-3,Ｇ大阪,等々力,"2,343",ＷＯＷＯＷ（録）
1999,ＹＮＣ,１回戦第１戦,04/07(水),19:00,甲府,0-2,Ｖ川崎,小瀬,"5,785",ディレクＴＶ／山梨放送（録）
1999,ＹＮＣ,１回戦第１戦,04/07(水),19:00,大分,2-1,平塚,大分,"2,943",
1999,ＹＮＣ,１回戦第１戦,04/07(水),19:03,大宮,1-1,横浜FM,大宮,"3,693",テレビ埼玉
1999,ＹＮＣ,１回戦第１戦,04/07(水),19:03,鳥栖,0-3,Ｃ大阪,鳥栖,"2,829",ディレクＴＶ
1999,ＹＮＣ,１回戦第１戦,04/07(水),19:04,山形,0-5,京都,山形県,"3,853",
1999,Ｊ１ １ｓｔ,第６節第１日,04/10(土),14:03,平塚,0-3,浦和,国立,"20,371",ディレクＴＶ／テレビ埼玉（録）
1999,Ｊ１ １ｓｔ,第６節第１日,04/10(土),15:01,京都,1-2,鹿島,西京極,"5,335",ＫＢＳ京都（録）／ディレクＴＶ（録）
1999,Ｊ１ １ｓｔ,第６節第１日,04/10(土),15:01,広島,2-0,Ｇ大阪,広島ス,"3,812",広島ホームテレビ
1999,Ｊ１ １ｓｔ,第６節第１日,04/10(土),15:01,福岡,1-3,清水,博多球,"9,306",ＲＫＢ毎日放送（録）／スカイパーフェクＴＶ（録）
1999,Ｊ１ １ｓｔ,第６節第１日,04/10(土),15:04,横浜FM,6-0,Ｃ大阪,横浜国,"10,588",テレビ神奈川（録）／Ｊ－ＳＰＯＲＴＳ
1999,Ｊ１ １ｓｔ,第６節第１日,04/10(土),15:04,神戸,4-3,市原,神戸ユ,"6,250",ＢＳ（録）
1999,Ｊ１ １ｓｔ,第６節第１日,04/10(土),15:05,柏,0-1,磐田,柏,"13,097",ＮＨＫ総合
1999,Ｊ１ １ｓｔ,第６節第１日,04/10(土),19:04,Ｖ川崎,2-1,名古屋,等々力,"7,605",ＢＳ（生）／日本テレビ（録）
1999,Ｊ２,第５節第１日,04/10(土),19:00,甲府,1-2,川崎Ｆ,小瀬,737,
1999,Ｊ２,第５節第２日,04/11(日),12:34,札幌,0-1,新潟,室蘭,"4,588",北海道文化放送
1999,Ｊ２,第５節第２日,04/11(日),13:01,鳥栖,1-3,大分,佐賀,"2,695",
1999,Ｊ２,第５節第２日,04/11(日),13:03,Ｆ東京,0-1,山形,西が丘,"1,501",東京メトロポリタンテレビ
1999,Ｊ２,第５節第２日,04/11(日),14:00,大宮,4-0,仙台,大宮,"1,331",
1999,サテライトリーグ Ａグループ,第４日,04/11(日),14:01,柏,2-0,浦和,柏,452,
1999,サテライトリーグ Ｃグループ,第６日,04/11(日),14:00,京都,1-4,広島,東城陽Ｇ,179,
1999,サテライトリーグ Ｃグループ,第６日,04/11(日),14:01,神戸,2-1,Ｇ大阪,いぶき旧,150,
1999,サテライトリーグ Ｃグループ,第６日,04/11(日),15:00,Ｃ大阪,0-2,福岡,瀬田Ｇ,70,
1999,ＹＮＣ,１回戦第２戦,04/14(水),19:00,柏,2-0,新潟,柏,"4,123",
1999,ＹＮＣ,１回戦第２戦,04/14(水),19:00,平塚,0-0,大分,平塚,"4,260",
1999,ＹＮＣ,１回戦第２戦,04/14(水),19:00,Ｇ大阪,0-1,川崎Ｆ,万博,"2,291",
1999,ＹＮＣ,１回戦第２戦,04/14(水),19:00,Ｃ大阪,2-0,鳥栖,長居,"2,705",
1999,ＹＮＣ,１回戦第２戦,04/14(水),19:00,神戸,1-2,Ｆ東京,神戸ユ,"1,828",
1999,ＹＮＣ,１回戦第２戦,04/14(水),19:00,広島,4-1,仙台,広島ス,"3,906",
1999,ＹＮＣ,１回戦第２戦,04/14(水),19:01,福岡,3-0,札幌,博多球,"4,022",ＷＯＷＯＷ（録）
1999,ＹＮＣ,１回戦第２戦,04/14(水),19:02,横浜FM,3-0,大宮,三ツ沢,"5,150",
1999,ＹＮＣ,１回戦第２戦,04/14(水),19:02,京都,4-1,山形,西京極,"2,576",
1999,ＹＮＣ,１回戦第２戦,04/14(水),19:03,Ｖ川崎,1-1,甲府,等々力,"2,554",ディレクＴＶ
1999,Ｊ１ １ｓｔ,第７節第１日,04/17(土),14:02,磐田,1-0,横浜FM,磐田,"14,671",テレビ朝日（全）
1999,Ｊ１ １ｓｔ,第７節第１日,04/17(土),15:01,市原,0-2,広島,市原,"3,146",千葉テレビ（録）／スカイパーフェクＴＶ（録）
1999,Ｊ１ １ｓｔ,第７節第１日,04/17(土),15:01,神戸,1-2,福岡,神戸ユ,"2,411",ディレクＴＶ（録）
1999,Ｊ１ １ｓｔ,第７節第１日,04/17(土),15:04,名古屋,3-1,平塚,瑞穂陸,"11,054",名古屋テレビ／Ｊ－ＳＰＯＲＴＳ
1999,Ｊ１ １ｓｔ,第７節第１日,04/17(土),15:04,Ｇ大阪,0-1,Ｖ川崎,万博,"4,034",読売テレビ（録）／ＢＳ（生）
1999,Ｊ１ １ｓｔ,第７節第１日,04/17(土),19:03,Ｃ大阪,2-1,清水,長居,"7,983",ディレクＴＶ
1999,Ｊ１ １ｓｔ,第７節第１日,04/17(土),19:04,浦和,0-1,京都,駒場,"18,654",テレビ埼玉／ＢＳ（生）
1999,Ｊ２,第６節第１日,04/17(土),18:00,大分,1-1,Ｆ東京,大分,"1,784",
1999,Ｊ２,第６節第２日,04/18(日),13:00,新潟,3-1,大宮,新潟,"5,799",
1999,Ｊ２,第６節第２日,04/18(日),13:00,鳥栖,0-1,仙台,鳥栖,"1,838",
1999,Ｊ２,第６節第２日,04/18(日),14:00,山形,4-1,甲府,山形県,"2,656",
1999,Ｊ２,第６節第２日,04/18(日),14:00,川崎Ｆ,2-0,札幌,等々力,"5,058",
1999,サテライトリーグ Ａグループ,第５日,04/18(日),14:00,平塚,3-1,市原,大神Ｇ,200,
1999,サテライトリーグ Ｂグループ,第４日,04/18(日),14:01,清水,1-3,磐田,蛇塚Ｇ,188,
1999,サテライトリーグ Ｃグループ,第７日,04/18(日),13:59,広島,2-0,神戸,広域１,143,
1999,サテライトリーグ Ｃグループ,第７日,04/18(日),14:00,Ｃ大阪,0-2,京都,水口,82,
1999,サテライトリーグ Ｃグループ,第７日,04/18(日),15:00,福岡,1-2,Ｇ大阪,雁の巣,238,
1999,Ｊ２,第７節第１日,04/23(金),19:00,甲府,0-3,Ｆ東京,小瀬,784,
1999,Ｊ１ １ｓｔ,第８節第１日,04/24(土),13:03,Ｖ川崎,1-0,市原,等々力,"3,507",日本テレビ（単）
1999,Ｊ１ １ｓｔ,第８節第１日,04/24(土),14:04,広島,2-5,神戸,広島ス,"5,239",ＢＳ（生）
1999,Ｊ１ １ｓｔ,第８節第１日,04/24(土),15:03,横浜FM,3-3,鹿島,横浜国,"20,705",ＴＢＳ（単）
1999,Ｊ１ １ｓｔ,第８節第１日,04/24(土),15:03,平塚,1-3,Ｇ大阪,平塚,"2,812",Ｊ－ＳＰＯＲＴＳ
1999,Ｊ１ １ｓｔ,第８節第１日,04/24(土),15:04,福岡,2-5,Ｃ大阪,博多球,"6,372",ＢＳ（録）／ディレクＴＶ（録）
1999,Ｊ１ １ｓｔ,第８節第１日,04/24(土),15:08,柏,3-1,浦和,柏の葉,"15,849",千葉テレビ（録）／ディレクＴＶ
1999,Ｊ１ １ｓｔ,第８節第１日,04/24(土),16:04,清水,2-5,磐田,日本平,"19,343",テレビ静岡／ＢＳ（生）
1999,Ｊ１ １ｓｔ,第８節第１日,04/24(土),19:04,京都,1-2,名古屋,西京極,"7,428",ＫＢＳ京都／ＢＳ（生）
1999,Ｊ２,第７節第２日,04/25(日),13:00,鳥栖,0-1,新潟,鳥栖,"2,674",
1999,Ｊ２,第７節第２日,04/25(日),13:32,札幌,3-2,山形,室蘭,"4,317",札幌テレビ放送
1999,Ｊ２,第７節第２日,04/25(日),14:00,大宮,0-2,川崎Ｆ,大宮,"2,455",
1999,Ｊ２,第７節第２日,04/25(日),14:03,仙台,1-3,大分,仙台,"2,568",東北放送
1999,サテライトリーグ Ａグループ,第６日,04/25(日),14:00,平塚,0-0,柏,大神Ｇ,350,
1999,サテライトリーグ Ｃグループ,第８日,04/25(日),14:00,Ｇ大阪,3-2,京都,ガンバＧ,191,
1999,サテライトリーグ Ｃグループ,第８日,04/25(日),14:01,神戸,1-5,Ｃ大阪,いぶき旧,200,
1999,Ｊ１ １ｓｔ,第９節第１日,04/28(水),19:00,鹿島,0-1,清水,国立,"15,316",ＢＳ（録）
1999,Ｊ１ １ｓｔ,第９節第１日,04/28(水),19:01,Ｇ大阪,1-2,京都,万博,"2,720",毎日放送（録）／スカイパーフェクＴＶ（録）
1999,Ｊ１ １ｓｔ,第９節第１日,04/28(水),19:01,福岡,2-3,広島,博多球,"5,295",ディレクＴＶ（録）
1999,Ｊ１ １ｓｔ,第９節第１日,04/28(水),19:03,市原,2-1,平塚,市原,"2,575",千葉テレビ
1999,Ｊ１ １ｓｔ,第９節第１日,04/28(水),19:03,名古屋,0-1,柏,瑞穂陸,"10,364",名古屋テレビ（録）／ディレクＴＶ
1999,Ｊ１ １ｓｔ,第９節第１日,04/28(水),19:03,神戸,1-2,Ｖ川崎,神戸ユ,"3,560",Ｊ－ＳＰＯＲＴＳ
1999,Ｊ１ １ｓｔ,第９節第１日,04/28(水),19:04,浦和,1-2,横浜FM,駒場,"17,907",ＢＳ（生）
1999,Ｊ２,第８節第１日,04/28(水),18:00,新潟,0-3,仙台,新潟,"2,452",
1999,Ｊ２,第８節第２日,04/29(木・祝),12:59,大分,1-1,甲府,佐伯,"1,931",
1999,Ｊ２,第８節第２日,04/29(木・祝),13:01,Ｆ東京,2-1,札幌,西が丘,"6,148",東京メトロポリタンテレビ
1999,Ｊ２,第８節第２日,04/29(木・祝),14:00,川崎Ｆ,2-4,鳥栖,等々力,"3,177",
1999,Ｊ２,第８節第２日,04/29(木・祝),14:04,山形,1-2,大宮,山形県,"2,948",山形テレビ
1999,Ｊ１ １ｓｔ,第１０節第１日,05/01(土),15:01,京都,2-3,市原,西京極,"4,351",ＫＢＳ京都（録）／ディレクＴＶ（録）
1999,Ｊ１ １ｓｔ,第１０節第１日,05/01(土),15:03,Ｖ川崎,2-0,広島,等々力,"9,137",日本テレビ（単）
1999,Ｊ１ １ｓｔ,第１０節第１日,05/01(土),15:04,清水,2-2,浦和,日本平,"14,558",テレビ静岡／ＢＳ（生）
1999,Ｊ１ １ｓｔ,第１０節第１日,05/01(土),19:03,柏,4-2,Ｇ大阪,柏,"7,543",ＢＳ（録）／Ｊ－ＳＰＯＲＴＳ
1999,Ｊ１ １ｓｔ,第１０節第１日,05/01(土),19:03,平塚,2-1,神戸,平塚,"5,298",ディレクＴＶ
1999,Ｊ１ １ｓｔ,第１０節第１日,05/01(土),19:04,Ｃ大阪,1-0,鹿島,長居,"26,290",ＢＳ（生）
1999,Ｊ１ １ｓｔ,第１０節第１日,05/01(土),19:06,横浜FM,4-3,名古屋,横浜国,"31,163",ＴＢＳ（全）
1999,Ｊ２,第９節第１日,05/02(日),13:00,鳥栖,0-1,山形,鳥栖,"3,161",
1999,Ｊ２,第９節第１日,05/02(日),13:00,大分,1-0,新潟,大分,"4,860",
1999,Ｊ２,第９節第１日,05/02(日),13:02,札幌,6-0,甲府,札幌,"15,318",北海道放送
1999,Ｊ２,第９節第１日,05/02(日),13:33,仙台,0-2,川崎Ｆ,仙台,"9,502",ミヤギテレビ
1999,Ｊ２,第９節第１日,05/02(日),13:59,大宮,0-2,Ｆ東京,大宮,"5,212",
1999,サテライトリーグ Ｃグループ,第９日,05/02(日),15:01,広島,4-1,福岡,広域１,256,
1999,Ｊ１ １ｓｔ,第１１節第１日,05/05(水・祝),14:01,Ｇ大阪,1-0,横浜FM,万博,"16,105",朝日放送
1999,Ｊ１ １ｓｔ,第１１節第１日,05/05(水・祝),15:00,神戸,3-2,京都,神戸ユ,"9,346",ディレクＴＶ（録）／ＫＢＳ京都（録）
1999,Ｊ１ １ｓｔ,第１１節第１日,05/05(水・祝),15:01,鹿島,1-2,磐田,国立,"51,575",ＮＨＫ総合
1999,Ｊ１ １ｓｔ,第１１節第１日,05/05(水・祝),15:03,広島,3-0,平塚,広島ビ,"15,157",ディレクＴＶ
1999,Ｊ１ １ｓｔ,第１１節第１日,05/05(水・祝),15:03,福岡,1-2,Ｖ川崎,博多球,"10,448",Ｊ－ＳＰＯＲＴＳ
1999,Ｊ１ １ｓｔ,第１１節第１日,05/05(水・祝),16:01,名古屋,3-4,清水,長良川,"17,210",東海テレビ（録）／ＢＳ（録）
1999,Ｊ１ １ｓｔ,第１１節第１日,05/05(水・祝),18:33,浦和,2-3,Ｃ大阪,駒場,"18,401",テレビ埼玉／スカイパーフェクＴＶ（録）
1999,Ｊ１ １ｓｔ,第１１節第１日,05/05(水・祝),19:03,市原,2-5,柏,市原,"5,020",千葉テレビ／ＢＳ（録）
1999,Ｊ２,第１０節第１日,05/05(水・祝),13:00,Ｆ東京,2-0,仙台,西が丘,"3,035",東京メトロポリタンテレビ
1999,Ｊ２,第１０節第１日,05/05(水・祝),13:00,甲府,0-3,鳥栖,小瀬,"1,337",
1999,Ｊ２,第１０節第１日,05/05(水・祝),13:04,札幌,1-0,大宮,札幌,"7,235",ＮＨＫ札幌
1999,Ｊ２,第１０節第１日,05/05(水・祝),14:00,山形,3-0,新潟,山形県,"3,866",
1999,Ｊ２,第１０節第１日,05/05(水・祝),14:00,川崎Ｆ,2-1,大分,等々力,"4,021",
1999,Ｊ１ １ｓｔ,第１２節第１日,05/08(土),14:01,Ｃ大阪,1-2,名古屋,花園,"9,865",読売テレビ（録）
1999,Ｊ１ １ｓｔ,第１２節第１日,05/08(土),14:02,磐田,4-3,浦和,磐田,"14,026",テレビ朝日（単）
1999,Ｊ１ １ｓｔ,第１２節第１日,05/08(土),16:00,京都,0-4,広島,鳥取,"5,320",ＫＢＳ京都（録）／ディレクＴＶ（録）
1999,Ｊ１ １ｓｔ,第１２節第１日,05/08(土),16:03,平塚,0-1,Ｖ川崎,平塚,"5,829",Ｊ－ＳＰＯＲＴＳ
1999,Ｊ１ １ｓｔ,第１２節第１日,05/08(土),16:03,清水,2-1,Ｇ大阪,日本平,"8,565",静岡放送／ディレクＴＶ
1999,Ｊ１ １ｓｔ,第１２節第１日,05/08(土),16:04,鹿島,3-0,福岡,富山,"22,259",北日本放送（生）／ＢＳ
1999,Ｊ１ １ｓｔ,第１２節第１日,05/08(土),19:00,柏,1-0,神戸,柏,"7,675",スカイパーフェクＴＶ！（録）
1999,Ｊ１ １ｓｔ,第１２節第１日,05/08(土),19:04,横浜FM,4-1,市原,横浜国,"11,670",テレビ神奈川／ＢＳ
1999,Ｊ２,第１１節第１日,05/09(日),13:01,鳥栖,2-2,札幌,鳥栖,"5,797",
1999,Ｊ２,第１１節第１日,05/09(日),13:59,仙台,1-2,甲府,仙台,"5,867",
1999,Ｊ２,第１１節第１日,05/09(日),14:00,川崎Ｆ,4-0,山形,等々力,"3,623",
1999,Ｊ２,第１１節第１日,05/09(日),14:00,新潟,2-0,Ｆ東京,新潟,"9,327",
1999,Ｊ２,第１１節第１日,05/09(日),19:02,大分,1-0,大宮,大分,"2,894",
1999,サテライトリーグ Ａグループ,第７日,05/09(日),14:00,浦和,5-4,平塚,鴻巣,"1,316",
1999,サテライトリーグ Ａグループ,第７日,05/09(日),14:02,市原,3-0,鹿島,秋津,690,
1999,サテライトリーグ Ｃグループ,第１０日,05/09(日),14:00,京都,3-0,福岡,東城陽Ｇ,334,
1999,Ｊ１ １ｓｔ,第１３節第１日,05/15(土),15:02,福岡,2-0,平塚,博多球,"6,312",スカイパーフェクＴＶ！（録）
1999,Ｊ１ １ｓｔ,第１３節第１日,05/15(土),15:03,浦和,1-0,鹿島,国立,"46,401",フジテレビ（全）
1999,Ｊ１ １ｓｔ,第１３節第１日,05/15(土),15:03,名古屋,1-2,磐田,瑞穂陸,"22,532",東海テレビ／ＢＳ（録）
1999,Ｊ１ １ｓｔ,第１３節第１日,05/15(土),15:03,神戸,1-0,横浜FM,神戸ユ,"7,308",Ｊ－ＳＰＯＲＴＳ
1999,Ｊ１ １ｓｔ,第１３節第１日,05/15(土),15:03,広島,3-1,柏,広島ス,"6,824",中国放送／ディレクＴＶ（録）
1999,Ｊ１ １ｓｔ,第１３節第１日,05/15(土),15:04,市原,2-3,清水,市原,"4,079",千葉テレビ（録）／ディレクＴＶ
1999,Ｊ１ １ｓｔ,第１３節第１日,05/15(土),15:04,Ｖ川崎,0-3,京都,等々力,"6,571",日本テレビ（録）／ＢＳ
1999,Ｊ１ １ｓｔ,第１３節第１日,05/15(土),15:04,Ｇ大阪,1-2,Ｃ大阪,万博,"8,253",関西テレビ
1999,Ｊ２,第１２節第１日,05/16(日),12:34,札幌,3-0,仙台,札幌,"10,307",北海道文化放送
1999,Ｊ２,第１２節第１日,05/16(日),13:00,Ｆ東京,0-1,川崎Ｆ,西が丘,"3,147",東京メトロポリタンテレビ
